region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Київська,2020-04-23,1.0417565541336016,1.0391118178372052,0.8476420933589611,1.2780334485825966,0.9730561400498073,1.1094514169192067
Київська,2020-04-24,1.039328004794812,1.0346687342605492,0.8547753710061935,1.2815853112225135,0.9771400006493713,1.111423287158499
Київська,2020-04-25,1.038707377067728,1.0332695906088354,0.8503082383274924,1.2656900155440338,0.975919777677372,1.1052479085406697
Київська,2020-04-26,1.034548562471455,1.0297206577527158,0.814792279655193,1.2463252902258113,0.9724839773727673,1.1093450563151703
Київська,2020-04-27,1.0323292897614782,1.0292423391904078,0.8531403618814548,1.2613142288764614,0.9604774259752997,1.0926886239838474
Київська,2020-04-28,1.0324902740661177,1.0281445883468776,0.8404183359259005,1.244654478747555,0.9474268264220278,1.0784805583473516
Київська,2020-04-29,1.0310886836180342,1.0291700323823312,0.8309966345035362,1.2459995657243126,0.9499334220631904,1.0864926348275081
Київська,2020-04-30,1.02957367249261,1.026668231610897,0.831322138982132,1.2354197067075323,0.9600374572340498,1.0944820300023057
Київська,2020-05-01,1.027108561746093,1.024665428668231,0.8339353305310526,1.2490987772319637,0.9647785122938157,1.0963272951245993
Київська,2020-05-02,1.0272096957219072,1.0234674356530706,0.8360864243465733,1.2369605571410986,0.9451215482964564,1.0806639302583052
Київська,2020-05-03,1.0257285036228387,1.0191650235508094,0.7866511535983058,1.2177190322067133,0.9606517610259998,1.0891191752531844
Київська,2020-05-04,1.0253093444772177,1.0190063686365147,0.8110902838125924,1.2175071232137704,0.9482667398934258,1.0771976417973181
Київська,2020-05-05,1.025410724457877,1.0190399978153224,0.811600507567367,1.2242952391493447,0.9532242803869346,1.0838157530080947
Київська,2020-05-06,1.0252696119416684,1.0227440525518547,0.8049913874189054,1.210522087850792,0.9689413003022022,1.097997459771065
Київська,2020-05-07,1.0253083917061028,1.024180443111802,0.8187213590074228,1.2188883180935794,0.9682813222600527,1.0961421857516525
Київська,2020-05-08,1.025048155355164,1.0214798383933312,0.7955999475488215,1.213802734728067,0.9594792187048589,1.0865092040662108
Київська,2020-05-09,1.021632698615364,1.0195893836939223,0.8191072417404767,1.2304106271696027,0.959606504505836,1.0938573260452953
